Bairro,Endereco,Quartos,Tipo,Preco,Distancia do aeroporto,CEP,Banheiro,Vagas,Area terreno,Area construida,Ano da construcao,Latitude,Longitude
Maidstone,1/39 Spurling St,3,apartamento,,9.2,3012,2,1,,153,2014,-37.7843,144.8747
Doncaster,3/9 Persimmon Ct,3,apartamento,,13.9,3108,2,1,228,156,2014,-37.7845,145.1399
Coburg,3/58 Moore St,3,apartamento,740000,7.8,3058,2,1,255,164,2014,-37.7546,144.9713
Toorak,3/1085 Malvern Rd,3,kitnet,2205000,4.6,3142,2,2,,185,2014,-37.8512,145.0282
Balwyn North,2B Lemon Rd,3,casa,,9.2,3104,2,2,293,220,2014,-37793,145.0996
Bulleen,57a Estelle St,5,casa,,11.8,3105,2,2,388,235,2014,-37.7791,145.0961
Caulfield North,25 Malvern Gr,3,casa,2005000,8.1,3161,2,3,361,237,2014,-37.8694,145.0296
Port Melbourne,126 Heath St,3,casa,3705000,3.8,3207,2,2,214,241,2014,-37.8341,144.9458
Moonee Ponds,76 Argyle St,3,casa,1550000,6.9,3039,2,3,477,258,2014,-37.7661,144.9076
Surrey Hills,4 Norris St,4,casa,2860000,11.2,3127,2,2,779,264,2014,-37.8185,145.0878
Heidelberg Heights,27 Sackville St,2,casa,,10.5,3081,2,2,251,92.9,2014,-37.74665,145.05401
Melbourne,702/108 Flinders St,2,kitnet,675000,2.8,3000,2,1,,,2014,-37.8161,144.9712
Carnegie,9/81 Koornang Rd,2,kitnet,572000,11.4,3163,2,1,,,2014,-37.8873,145.0572
Southbank,909/118 Kavanagh St,2,kitnet,430000,1.2,3006,2,0,2295,,2014,-37.8256,144.9622
Coburg North,27 Snapshot Dr,5,casa,1172000,9.2,3058,3,2,425,37,2014,-37.7302,144.9816
Camberwell,2/1 Gavan St,2,apartamento,,7.8,3124,3,1,143,100,2014,-37.8478,145.0953
Glenroy,2/36 Prospect St,4,apartamento,607000,13,3046,3,2,,131,2014,-37.7102,144.9112
Yarraville,4/16 Dean St,3,apartamento,620000,7,3013,3,1,,141,2014,-37.8194,144.8826
Chadstone,8B Moorong St,4,casa,890000,13.6,3148,3,2,288,158,2014,-37.8801,145.1051
Glenroy,47 Cardinal Rd,4,casa,1217500,13,3046,3,2,693,192,2014,-37.7111,144.9275
Balwyn North,16 Sylvan St,4,apartamento,1680000,9.2,3104,3,1,362,200,2014,-37.7987,145.0788
Kew,157 Eglinton St,4,casa,,5.6,3101,3,2,283,215,2014,-37.8009,145.0443
Hampton,43 Fewster Rd,4,casa,1250000,13.7,3188,3,2,398,220,2014,-37.9381,145.0161
Bentleigh East,34b Lesden St,4,apartamento,1210000,13.9,3165,3,2,291,222,2014,-37.9347,145.0546
Ashburton,3/39 Solway St,3,apartamento,2050000,11,3147,3,4,310,315,2014,-37874,145.0714
Burwood,20 Gilmour St,6,casa,,11.7,3125,3,3,796,367,2014,-37.8529,145.0986
Moonee Ponds,105 Vine St,5,casa,,6.9,3039,3,3,522,,2014,-37769,144.9342
Coburg North,30 Boyne St,6,casa,,9.2,3058,4,2,478,316,2014,-37.73151,144.98102
Burwood,4 Iris St,5,casa,2150000,11.7,3125,4,2,643,380,2014,-37.8454,145.0974
Kew,2 Perry Ct,5,casa,,5.6,3101,4,5,659,418,2014,-37.8064,145.0589
Balwyn North,211 Belmore Rd,5,casa,,9.2,3104,4,3,802,542,2014,-37.8028,145079
Niddrie,4/503 Keilor Rd,1,kitnet,325000,11.2,3042,1,1,710,58,2015,-37.73433,144.89049
Niddrie,303/503 Keilor Rd,2,kitnet,,11.2,3042,1,1,710,73,2015,-37.7355,144.8874
Cremorne,607/140 Swan St,2,kitnet,662500,2.5,3121,1,1,,75,2015,-37.8255,144.9948
Yarraville,3/113 Somerville Rd,2,apartamento,,7,3013,1,1,91,88,2015,-37.8133,144.8862
Airport West,2/252 Parer Rd,2,apartamento,450000,13.5,3042,1,1,110,90,2015,-37.7216,144871
Oak Park,15 Kiama St,2,apartamento,600000,11.5,3046,1,1,161,112,2015,-37.77745,145.01424
South Yarra,15/9 Darling St,2,kitnet,990000,3.3,3141,2,2,,38,2015,-37.8379,144.9913
Moonee Ponds,27/15 Moore St,2,kitnet,560000,6.9,3039,2,1,,63,2015,-37.76861,144.91136
Box Hill,7/1102 Whitehorse Rd,3,apartamento,,13.1,3128,2,1,86,99,2015,-37.8198,145.1328
Port Melbourne,218 Nott St,2,casa,1275000,3.8,3207,2,1,115,115,2015,-37.8351,144.9441
Keilor East,87A Wyong St,3,casa,635000,12.8,3033,2,1,162,115,2015,-37.73082,144.87224
Essendon West,4/426 Buckley St,3,apartamento,730000,9.8,3040,2,2,,118,2015,-37.7532,144.8848
Malvern East,1c Wilmot St,2,apartamento,650000,11.2,3145,2,1,,120,2015,-37.8828,145.0528
Heidelberg Heights,2/388 Waterdale Rd,3,kitnet,630000,10.5,3081,2,1,,123,2015,-37.75017,
Footscray,216a Ballarat Rd,4,apartamento,699000,6.4,3011,2,2,,126,2015,-37.7905,144.8882
Watsonia,2/21 High St,3,casa,690000,14.9,3087,2,1,308,129,2015,-37.7078,145.0807
Ascot Vale,3/8 Walter St,2,apartamento,865000,5.9,3032,2,1,146,132,2015,-37.7713,144.9038
Newport,4/27 Clyde St,3,apartamento,770000,8.4,3015,2,2,224,132,2015,-37.8424,144.8653
Rosanna,51 Davies St,3,casa,1012000,11.4,3084,2,1,323,142,2015,-37.7359,145.0614
Carlton North,967 Drummond St,4,casa,2718000,3.2,3054,2,0,538,142,2015,-37.7816,144.9714
Niddrie,1/79 Coghlan St,3,apartamento,800000,11.2,3042,2,2,202,151,2015,-37.73553,144.88241
Kew,15/8 Cobden St,3,apartamento,,5.6,3101,2,2,,173,2015,-37.8041,145.0359
Moorabbin,1/1 Perry St,4,apartamento,1105000,14.6,3189,2,2,220,187,2015,-37.9387,145.0398
South Kingsville,55 Vernon St,3,apartamento,,9.1,3015,2,2,225,192,2015,-37.8319,144.8716
Kew,97 Edgevale Rd,3,casa,,5.6,3101,2,2,250,216,2015,-37.8115,145.0429
Moorabbin,8b William St,4,casa,1140000,14.6,3189,2,1,318,242,2015,-37.9443,145.0448
Altona,158 Queen St,3,casa,520000,13.8,3018,2,1,352,242,2015,-37.87,144825
Bentleigh East,31b Purtell St,4,apartamento,1465000,13.9,3165,2,2,319,256,2015,-37.9256,145.0533
Fawkner,13 Brockley Rd,4,casa,1010000,12.4,3060,2,2,607,338,2015,-37716,144.9663
Glen Iris,14 Queens Pde,5,casa,2410000,9.2,3146,2,2,654,354,2015,-37.8515,145.0922
Kew,8 Merrion Pl,3,casa,1878000,5.6,3101,2,1,392,426,2015,-37.8081,145.0263
Aberfeldie,5 Allan St,4,casa,,9.1,3040,2,2,537,231.33,2015,-37.76082,144.8948
Windsor,14 Earl St,3,casa,,5.1,3181,3,0,116,157,2015,-37.8536,144.9942
Maribyrnong,1A Riverview Ct,4,casa,1190000,8.7,3032,3,2,224,205,2015,-37.76407,144.88431
Seddon,38 Lily St,3,casa,,6.6,3011,3,2,227,211,2015,-37.8033,144.8897
Seddon,38 Lily St,3,casa,1325000,6.6,3011,3,2,227,211,2015,-37.8033,144.8897
Seddon,38 Lily St,3,casa,1350000,6.6,3011,3,2,227,211,2015,-37.8033,144.8897
Strathmore,1 Willonga St,3,casa,,9.7,3041,3,2,270,214,2015,-37.71985,144.97937
Essendon,22 Nimmo St,4,casa,1160000,8,3040,3,2,256,217,2015,-37.7527,144.8957
Newport,75 Woods St,4,casa,1620000,8.4,3015,3,1,425,233,2015,-37.8456,144.8741
Essendon,33 Deakin St,4,apartamento,1250000,8,3040,3,2,374,267,2015,-37.7507,144.8911
Spotswood,118 The Avenue,4,apartamento,840000,7.7,3015,3,2,278,277,2015,-37.8261,144.8718
Fairfield,254 Rathmines St,4,casa,2000000,5.8,3078,3,2,575,280,2015,-37.7671,145.0176
Brighton,3 Snooks Ct,4,casa,,11.2,3186,3,2,600,283,2015,-37.9044,144.9963
Oakleigh,5 Grant St,5,casa,1600000,14,3166,3,2,695,305,2015,-37.8973,145.0979
Hampton,38 Myrtle Rd,4,casa,2800000,13.7,3188,3,2,701,320,2015,-37.9419,145.0152
Brighton East,40 Camperdown St,4,casa,,10.7,3187,3,2,716,370,2015,-37.9181,145.0108
Ashburton,61 Dent St,4,casa,2650000,11,3147,3,2,753,399,2015,-37.8669,145.0767
Camberwell,17 Granville St,5,casa,,7.8,3124,3,3,660,467,2015,-37.8393,145.0949
Balwyn North,3 Dumblane St,5,casa,3300000,9.2,3104,4,2,760,477,2015,-37.7907,145.0907
Brighton East,38 Arnold Rd,5,casa,,10.7,3187,5,3,625,404,2015,-37.9285,145024
Ashburton,29A Yuile St,5,casa,3510000,11,3147,5,2,755,444,2015,-37.8598,145.0796
Reservoir,2/89 Purinuan Rd,2,apartamento,350000,11.2,3073,1,1,,72,2016,-37.7091,145.0255
Essendon,101 McCracken St,3,casa,1470000,8,3040,1,1,687,120,2016,-37.7442,144.9045
Reservoir,3/14 MacK St,3,apartamento,592000,11.2,3073,1,1,270,160,2016,-37702,145.0148
Coburg,69 Victoria St,3,apartamento,720000,7.8,3058,2,2,531,112,2016,-37.74238,144.95706
Coburg,69 Victoria St,3,apartamento,720000,7.8,3058,2,2,531,112,2016,-37.74238,144.95706
Maidstone,1/1 Clarendon St,3,apartamento,675000,9.2,3012,2,2,159,128,2016,-37.78502,144.87401
Fitzroy North,3 Curtain Pl,3,apartamento,1080000,3.5,3068,2,1,77,133,2016,-37.7923,144.9776
Brunswick,16 Thistle St,3,apartamento,940000,5.2,3056,2,1,186,140,2016,-37.7581,144.9514
Port Melbourne,14 Nelson St,3,casa,,3.8,3207,2,1,,151,2016,-37.8363,144.9336
Yarraville,113 Anderson St,3,apartamento,1040000,7,3013,2,0,352,152,2016,-37.8164,144.8869
Port Melbourne,16 Nelson St,3,casa,1520000,3.8,3207,2,1,,160,2016,-37.8363,144.9336
Cremorne,56 Wellington St,3,casa,1900000,2.5,3121,2,2,263,166,2016,-37.8266,144.9894
Williamstown,68 Osborne St,3,casa,1710000,8,3016,2,1,260,170,2016,-37.8671,144.9001
St Kilda,35 Pakington St,3,casa,1678000,6.1,3182,2,2,361,171,2016,-37.8663,144.9882
South Yarra,29 Nicholson St,3,apartamento,2010000,3.3,3141,2,1,163,207,2016,-37.8425,144.9877
Yarraville,20 Grace St,3,casa,1450000,7,3013,2,2,542,211,2016,-37811,144.8844
Airport West,154 Halsey Rd,3,apartamento,840000,13.5,3042,2,1,303,225,2016,-37718,144878
Caulfield South,136 Sycamore St,2,casa,1262000,9.3,3162,2,2,464,272,2016,-37.8901,145.0224
Toorak,31 Mathoura Rd,4,casa,,4.6,3142,2,2,342,294,2016,-37847,145.0069
Malvern,3 Plant St,4,casa,3460000,7.4,3144,2,2,502,309,2016,-37.8515,145.0324
Yarraville,3/247 Williamstown Rd,3,casa,,7,3013,2,1,69,,2016,-37.8164,144.8831
Brunswick,2/3 Donald St,3,casa,680000,5.2,3056,3,1,81,100,2016,-37.7575,144.9647
Williamstown,2 Heriot Pl,3,casa,,8,3016,3,1,197,144,2016,-37.8649,144.9069
Chadstone,2/12 Moorong St,4,apartamento,1042500,13.6,3148,3,2,209,160,2016,-37.8805,145105
Ashburton,14 Gloucester Rd,4,casa,,11,3147,3,1,310,180,2016,-37866,145.0884
Kew,75 Derby St,4,casa,1910000,5.6,3101,3,2,277,199,2016,-37.8007,145.0374
Ashwood,1/53 Winbirra Pde,4,casa,1200000,12.2,3147,3,2,372,201,2016,-37.8716,145.0999
Aberfeldie,11 Muldowney St,3,apartamento,1300000,9.1,3040,3,1,593,205,2016,-37.7584,144.8968
Strathmore,196a Mascoma St,3,casa,850000,9.7,3041,3,3,250,207,2016,-37.7189,144.9036
Camberwell,16A Waterloo St,3,casa,3300000,7.8,3124,3,2,417,220,2016,-37831,145.0621
Ashburton,23 Solway St,4,casa,2220000,11,3147,3,2,480,244,2016,-37.86604,145.08822
Coburg North,19A Tilley St,4,casa,1050000,9.2,3058,3,2,501,258,2016,-37.7266,144.9823
South Kingsville,58 Kernot St,4,apartamento,915000,9.1,3015,3,1,662,265,2016,-37.8307,144.8725
Elsternwick,22 Carlingford St,4,casa,2050000,8.5,3185,3,2,420,270,2016,-37.8891,145.0102
Balwyn,316 Belmore Rd,4,casa,1750000,9.7,3103,3,2,453,308,2016,-37.8044,145.1006
Brighton East,25 Camperdown St,5,casa,2550000,10.7,3187,3,2,551,346,2016,-37.9176,145009
Brighton,16 Berwick St,5,casa,,11.2,3186,3,2,996,356,2016,-37.9035,144.9959
Ivanhoe,9 Cook St,3,casa,981000,7.9,3079,3,2,626,378,2016,-37.76,145.0326
Malvern,41 Horace St,4,casa,3800000,7.4,3144,3,2,587,392,2016,-37.8613,145.0393
Yarraville,27 Buninyong St,3,casa,1217500,7,3013,3,1,217,,2016,-37.8188,144.8884
Kew,176 Peel St,5,casa,2550000,5.6,3101,4,2,597,342,2016,-37.7937,145.0353
Templestowe Lower,62 Hodgson St,5,casa,2080000,13.8,3107,4,2,646,360,2016,-37.7625,145.1043
Doncaster,49 Burgundy Dr,5,casa,2168000,13.9,3108,5,2,669,395,2016,-37.7808,145.1185
Balwyn North,37 Gardenia Rd,5,casa,,9.2,3104,5,2,720,445,2016,-37.7859,145.0987
Glenroy,40 Augustine Tce,3,casa,,13,3046,1,1,707,116,2017,-37.6987,144.9104
Keilor East,20 Keith Gr,3,casa,825000,12.8,3033,2,1,630,126,2017,-37.7378,144.8705
Newport,17 Gordon St,3,apartamento,900000,8.4,3015,2,2,575,128,2017,-37.84367,144.86733
Reservoir,89 Darebin Bvd,4,casa,767500,11.2,3073,2,2,834,129,2017,-37704,145.0299
Glenroy,2 Roy St,4,casa,550000,13,3046,2,1,683,138,2017,-37.6964,144.9314
Newport,7 Durkin St,3,casa,945000,8.4,3015,2,1,487,190,2017,-37.8438,144.8806
Avondale Heights,157 Canning St,3,apartamento,851000,10.5,3034,3,1,557,181,2017,-37.77,144.8572
Heidelberg,36 Buckingham Dr,3,casa,1030000,10.6,3084,3,2,649,357,2017,-37.7501,145.0822
Brighton East,8 Thomas St,2,casa,1310000,10.7,3187,3,2,302,250,2018,-37.9182,145.0231
Bulleen,3 Maringa St,4,casa,,11.8,3105,2,2,729,255,,-37.7637,145.0881
Eaglemont,3/43 Waldemar Rd,3,apartamento,,10.3,3084,,0,,,,-37.7594,145.0542
Ivanhoe,5/125 Locksley Rd,2,kitnet,460000,7.9,3079,,0,,,,-37.7662,145.0516
Kensington,7/51 Epsom Rd,2,kitnet,526000,4.2,3031,,0,,,,-37.7919,144.9253
Footscray,2 Greenham Pl,2,apartamento,,6.4,3011,,0,,,,-37.7993,144.8966
Yarraville,1/53 Stephen St,2,kitnet,410000,7,3013,,0,,,,-37.8129,144.8952
East Melbourne,9/35 Powlett St,2,kitnet,872000,1.5,3002,,0,,,,-37.8154,144.9851
Melbourne,4215/220 Spencer St,2,kitnet,,2.8,3000,,0,,,,-37.8156,144.9531
East Melbourne,37/22 Agnes St,2,kitnet,740000,1.5,3002,,0,,,,-37.8177,144.9801
South Melbourne,14a Napier St,2,kitnet,,2.1,3205,,0,,,,-37.8342,144.9679
South Yarra,2/28 Tivoli Pl,2,kitnet,910000,3.3,3141,,0,,,,-37.8357,144.9859
South Yarra,82/390 Toorak Rd,3,kitnet,1072000,3.3,3141,,0,,,,-37.8407,145.0043
Malvern,4/382 Glenferrie Rd,3,kitnet,,7.4,3144,,0,,,,-37.8454,145.0314
Toorak,1/183 Kooyong Rd,2,kitnet,857000,4.6,3142,,0,,,,-37.8458,145.0221
Toorak,6/183 Kooyong Rd,2,kitnet,866000,4.6,3142,,0,,,,-37.8458,145.0221
Toorak,18/637 Orrong Rd,2,kitnet,,4.6,3142,,0,,,,-37.8474,145.0125
Glen Iris,1/64 Edgar St N,2,kitnet,545000,9.2,3146,,0,,,,-37.85,145.0465
Malvern,42 Cressy St,2,casa,780000,7.4,3144,,0,,,,-37.8502,145.0418
Armadale,3/50 Denbigh Rd,2,kitnet,546000,6.3,3143,,0,,,,-37.8568,145.0161
Balaclava,5/11 Albion St,2,kitnet,497500,6.6,3183,,0,,,,-37.8739,144.9929
Elsternwick,5/29 Nepean Hwy,2,kitnet,410000,8.5,3185,,0,,,,-37.8863,144.9996
Brighton,1/5 Webb St,3,apartamento,1067000,11.2,3186,,1,,,,-37.9119,144.9871
Brighton,17 New St,3,casa,1900000,11.2,3186,,0,,,,-37.9301,144.9935
Yarraville,1a Kingston St,2,casa,610000,7,3013,,0,94,,,-37815,144.8827
Glen Iris,25 Hope St,2,casa,845000,9.2,3146,,0,207,,,-37863,145.0501
Fawkner,1/66 Lorne St,3,kitnet,470000,12.4,3060,,0,261,,,-37.7158,144.9722
Williamstown,74 Thompson St,4,casa,,8,3016,,0,344,,,-37.8683,144.9025
South Melbourne,3 Park Pl,1,kitnet,760500,2.1,3205,,0,438,,,-37.8353,144.96
Bentleigh East,579 Warrigal Rd,3,casa,700000,13.9,3165,,0,456,,,-37.9314,145.0808
Malvern,32a Ewart St,3,casa,,7.4,3144,,0,476,,,-37.8699,145037
Canterbury,5/25 Chatham Rd,3,casa,,9,3126,,0,502,,,-37.8214,145.0858
Preston,86 Malpas St,3,casa,1010000,8.8,3072,,0,533,,,-37.73726,
Murrumbeena,313 Poath Rd,3,casa,,12.1,3163,,0,557,,,-37.9072,145.0742
Alphington,6 Naroon Rd,3,casa,1485000,6.4,3078,,0,597,,,-37.7781,145.0284
Malvern East,25 Virginia Gr,3,casa,,11.2,3145,,0,621,,,-37.88469,145.06596
Preston,19 Malpas St,4,casa,1004000,8.8,3072,,0,650,,,-37.7346,145.0226
Glen Iris,130 High St,4,casa,1550000,9.2,3146,,0,769,,,-37.8628,145.0734
Balwyn North,215 Doncaster Rd,3,casa,1670000,9.2,3104,,0,818,,,-37.79392,145.08655
Balwyn,5 Shrimpton Ct,2,casa,1010000,9.7,3103,,0,1611,,,-37.8092,145.1016
Brunswick,329 Brunswick Rd,4,casa,1175000,5.2,3056,1,2,319,1,,-37.7763,144.9549
Fawkner,112 Lynch Rd,2,casa,,12.4,3060,1,2,248,2,,-37.7108,144.9641
Carnegie,2 Poplar Gr,2,casa,907000,11.4,3163,1,2,316,2,,-37.8854,145.0636
West Footscray,17/24 Dongola Rd,3,apartamento,815000,8.2,3012,1,2,203,3,,-37.80404,144.87027
Balwyn North,1 Morris St,6,casa,1900000,9.2,3104,1,6,691,5,,-37.8022,145.0775
Hawthorn,3 Glen St,5,casa,3500000,4.6,3122,1,3,740,5,,-37.8298,145.0355
Toorak,16/36 Grange Rd,1,kitnet,460000,4.6,3142,1,1,,7,,-37.8373,145.0116
Newport,56 Hall St,2,casa,890000,8.4,3015,1,0,165,9,,-37.84401,144.88094
Kew,30/20 Pakington St,2,kitnet,520000,5.6,3101,1,1,,12,,-37804,145.0347
Surrey Hills,16 Park Rd,2,casa,1018000,11.2,3127,1,2,391,15,,-37.8364,145.1099
Keilor East,13 Wonganella Dr,3,casa,720000,12.8,3033,1,2,639,18,,-37.7334,144.8638
Flemington,90 Edinburgh St,3,casa,1315000,4.4,3031,1,1,313,20,,-37.7853,144.9235
Murrumbeena,2/190 Murrumbeena Rd,1,kitnet,291000,12.1,3163,1,1,,44,,-37.8979,145.0652
South Yarra,19/877 Punt Rd,1,kitnet,360000,3.3,3141,1,1,,46,,-37.8339,144.9872
Essendon,203/964 Mt Alexander Rd,1,kitnet,325000,8,3040,1,1,,50,,-37.75367,144.91447
Abbotsford,116/56 Nicholson St,1,kitnet,457000,2.5,3067,1,1,,50,,-37.8078,144.9965
Collingwood,107/10 Stanley St,1,kitnet,430000,1.6,3066,1,1,,52,,-37.8019,144.9845
West Footscray,3/19 Beaumont Pde,2,casa,,8.2,3012,1,1,,60,,-37.8079,144.8683
Fitzroy,206/424 Gore St,1,kitnet,458000,1.6,3065,1,1,,62,,-37.7964,144.9839
Kensington,4 Coopers La,3,casa,785000,4.2,3031,1,1,258,64,,-37.7906,144924
Caulfield North,9/370 Orrong Rd,2,kitnet,570000,8.1,3161,1,1,,67,,-37.8625,145.0103
Brunswick,264 Moreland Rd,2,casa,,5.2,3056,1,1,466,70,,-37.7548,144.9577
Essendon,14/44 Fletcher St,2,kitnet,450000,8,3040,1,1,,74,,-37.75515,144.92671
Essendon,14/44 Fletcher St,2,kitnet,,8,3040,1,1,,74,,-37.7552,144.9211
Southbank,4/55 Kavanagh St,2,kitnet,590000,1.2,3006,1,1,,75,,-37.8235,144.9655
Gardenvale,7/32 Gardenia Rd,2,kitnet,440000,9.8,3185,1,1,,75,,-37.8971,145.0093
Airport West,2/13 North St,2,kitnet,510000,13.5,3042,1,1,141,76,,-37.7202,144.8797
Hampton,1/88 Fewster Rd,2,kitnet,680000,13.7,3188,1,2,,78,,-37939,145.0219
Oakleigh,7/105 Atherton Rd,2,kitnet,,14,3166,1,1,809,80,,-37.8994,145.0955
Heidelberg Heights,1/97 Bamfield Rd,2,kitnet,450000,10.5,3081,1,1,,82,,-37.7359,145.0563
Ivanhoe,5/19 Livingstone St,2,kitnet,690000,7.9,3079,1,1,103,83,,-37.7671,145.0408
Thornbury,2/121 Darebin Rd,2,kitnet,605000,6.5,3071,1,1,133,83,,-37.7641,145.0104
South Yarra,8/44 Murphy St,1,kitnet,955000,3.3,3141,1,1,,85,,-37.8357,144991
Albion,3 Barclay St,2,casa,460000,13.9,3020,1,2,463,85,,-37.7813,144.8234
Murrumbeena,2/43 Kangaroo Rd,2,kitnet,825000,12.1,3163,1,1,,86,,-37898,145.0734
Bentleigh East,3/32 Elizabeth St,2,casa,689000,13.9,3165,1,1,169,87,,-37.9232,145.0537
Keilor East,18a Berembong Dr,2,kitnet,470000,12.8,3033,1,1,218,88,,-37.7337,144.8617
Melbourne,3301/288 Spencer St,2,kitnet,650000,2.8,3000,1,1,,92,,-37.8138,144952
Ormond,1/24 Lillimur Rd,2,kitnet,479500,11.8,3204,1,1,,92,,-37.9021,145.0417
Elsternwick,1/20 College St,2,kitnet,700000,8.5,3185,1,2,99,92,,-37.8951,145.0085
Footscray,88 Victoria St,3,casa,875000,6.4,3011,1,0,262,92,,-37.8022,144.8924
Murrumbeena,2/13 Walker St,2,casa,707000,12.1,3163,1,1,646,92,,-37.88841,145.07681
Coburg,43 Reynard St,2,casa,,7.8,3058,1,2,336,94,,-37.7484,144.9612
Maribyrnong,7/13 Navigator St,2,casa,335000,8.7,3032,1,1,,99,,-37.7681,144.8979
Seddon,12/117 Albert St,2,kitnet,,6.6,3011,1,1,,99,,-37.8066,144.8971
West Footscray,8/21 Hampton Pde,1,kitnet,241000,8.2,3012,1,1,,99,,-37.8067,144.8678
St Kilda,5/171 Fitzroy St,2,kitnet,690000,6.1,3182,1,0,,100,,-37.8579,144981
Caulfield South,4/21 Gardenvale Rd,3,kitnet,599000,9.3,3162,1,1,88,100,,-37.8997,145.0168
Reservoir,1 Nisbett St,2,apartamento,425000,11.2,3073,1,1,145,100,,-37.7284,145.0361
Elsternwick,5 Baxter St,3,casa,1390000,8.5,3185,1,2,463,102,,-37.8879,145.0134
Sunshine North,86 Northumberland Rd,3,casa,680000,13.3,3020,1,2,553,105,,-37.7706,144.8422
Sunshine West,5 Kenney St,3,casa,515000,13.5,3020,1,1,620,106,,-37.7968,144.8142
Kingsville,88 Chirnside St,1,casa,750000,7.8,3012,1,0,272,107,,-37.8086,144.8824
Heidelberg West,21 Pacific Dr,3,casa,710000,9.4,3081,1,1,594,107,,-37.7385,145.0409
Camberwell,3/573 Riversdale Rd,2,apartamento,900400,7.8,3124,1,1,93,111,,-37.8314,145.0611
Carnegie,64 Lyons St,2,casa,890000,11.4,3163,1,1,282,111,,-37.8957,145.0528
Maidstone,2/48 Inkerman St,2,apartamento,600000,9.2,3012,1,2,127,112,,-37.7859,144.8787
Bentleigh East,33 Schulz St,4,casa,1010000,13.9,3165,1,2,658,112,,-37.9343,145.0607
Hawthorn,23 Elgin St,3,casa,1480000,4.6,3122,1,0,228,116,,-37.8157,145.0263
Moorabbin,10 Avon St,3,casa,980000,14.6,3189,1,2,623,119,,-37.9404,145046
Coburg,110 Bell St,3,casa,710000,7.8,3058,1,1,160,120,,-37.74107,144.96569
Northcote,9 Brooke St,2,casa,1255000,5.5,3070,1,2,314,120,,-37.7762,145003
Caulfield South,80 Sycamore St,3,casa,1170000,9.3,3162,1,1,359,120,,-37.8898,145.0196
Airport West,36 Roberts Rd,4,casa,785000,13.5,3042,1,2,597,127,,-37.7259,144.8792
Newport,14 Jubilee St,3,casa,1060000,8.4,3015,1,4,600,130,,-37.8472,144.8707
Fawkner,3 Lovely St,3,casa,670000,12.4,3060,1,3,587,136,,-37.7007,144.9632
Williamstown North,3 Myrtle St,4,casa,881000,8.9,3016,1,3,468,139,,-37.8559,144.8785
Maidstone,12 Lindenow St,2,casa,927000,9.2,3012,1,4,524,139,,-37779,144.8832
Albion,67 Norwood St,3,casa,621000,13.9,3020,1,3,547,140,,-37.78486,144.81559
Williamstown,8 Long St,2,casa,1050000,8,3016,1,4,445,148,,-37.8615,144.8827
Avondale Heights,9 Willow Dr,3,casa,850000,10.5,3034,1,2,766,149,,-37.7522,144.8518
Thornbury,43 Ballantyne St,2,casa,925000,6.5,3071,1,1,258,157,,-37.7584,144.9971
Newport,10 Port St,3,casa,807500,8.4,3015,1,3,647,157,,-37.8481,144.8666
Bentleigh East,68 Mawby Rd,3,casa,1165000,13.9,3165,1,2,589,158,,-37.9297,145.05629
Burwood,1/10 Gillard St,2,casa,870000,11.7,3125,1,1,271,160,,-37.85115,145.11446
Hampton,55 Holyrood St,4,casa,,13.7,3188,1,2,803,160,,-37.9332,144.9998
Richmond,21 Crown St,3,casa,1165000,2.6,3121,1,1,167,170,,-37.8167,145.0098
Port Melbourne,175 Farrell St,2,casa,1234500,3.8,3207,1,0,183,185,,-37.8329,144.9375
Elsternwick,1 Bent St,3,casa,2160000,8.5,3185,1,1,590,185,,-37.8807,145.0005
Williamstown,169 Nelson Pl,3,casa,,8,3016,1,1,146,200,,-37.8631,144.9038
Windsor,52 The Avenue,4,casa,,5.1,3181,1,4,1047,277,,-37.8538,144.9985
Doncaster,34 Ayr St,3,casa,826000,13.9,3108,1,4,192,278,,-37.7837,145.1027
Malvern East,33 Emo Rd,3,casa,,11.2,3145,1,1,475,300,,-37.8794,145.0511
Bulleen,49 Furneaux Gr,4,casa,1002000,11.8,3105,1,2,650,323,,-37778,145.0913
Preston,94 High St,2,casa,650000,8.8,3072,1,1,360,360,,-37.7485,145.0025
Newport,75 Oakbank St,2,casa,922000,8.4,3015,1,0,301,380,,-37.8472,144.8907
Balwyn,1 Weston St,3,casa,1860000,9.7,3103,1,4,671,465,,-37.8117,145.0775
Preston,5 Bischoff St,2,casa,900000,8.8,3072,1,1,529,528,,-37.7427,144.9868
Bentleigh East,177 Bignell Rd,3,casa,1110000,13.9,3165,1,6,542,538,,-37.9272,145.0705
Carnegie,86 Neville St,2,casa,896000,11.4,3163,1,2,543,544,,-37898,145.0528
Fawkner,110 Jukes Rd,3,casa,,12.4,3060,1,2,593,593,,-37.7017,144.9672
Altona North,21 Neal Ct,3,casa,770000,11.1,3025,1,3,602,603,,-37.8327,144.8451
Glen Iris,1/58 Edgar St N,2,apartamento,600000,9.2,3146,1,1,,1143,,-37.8506,145.0465
Bulleen,19 Warringal St,4,casa,1280000,11.8,3105,1,2,732,6791,,-37.7615,145.0897
Carlton North,72 Pigdon St,2,casa,1290000,3.2,3054,1,0,119,76.77,,-37.78217,144.97482
Brighton,4/95 Wilson St,2,kitnet,760000,11.2,3186,1,2,,,,-37914,145003
Brighton,5/18 William St,3,kitnet,1005000,11.2,3186,1,1,,,,-37909,145.0005
